Authors,Author(s) ID,Title,Year,Source title,tit,Volume,Issue,Art. No.,Page start,Page end,Page count,Cited by,DOI,Link,Document Type,Publication Stage,Open Access,Source,EID
"Timofeev, V.S., Shchekoldin, V.Y., Timofeeva, A.Y.",35761669500;57035281900;56042711700;,Geographically weighted regression: Fitting to spatial location,2017,"2016 13th International Scientific-Technical Conference on Actual Problems of Electronic Instrument Engineering, APEIE 2016 - Proceedings",Actual Problems of Electronic Instrument Engineering,2,,7806489,358,363,,,10.1109/APEIE.2016.7806489,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85020709580&doi=10.1109%2fAPEIE.2016.7806489&partnerID=40&md5=00e8d6d190da702a9d90f8d22a06db62,Conference Paper,Final,,Scopus,2-s2.0-85020709580
"Timofeev, V.S., Teselkina, K.V., Veselova, A.S.",35761669500;57205478061;57205462917;,Development and Research of Transport Speed Models Using the Methods of Geo-Statistical Data Analysis,2018,"2018 14th International Scientific-Technical Conference on Actual Problems of Electronic Instrument Engineering, APEIE 2018 - Proceedings",Actual Problems of Electronic Instrument Engineering,,,8545605,315,319,,,10.1109/APEIE.2018.8545605,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85060128723&doi=10.1109%2fAPEIE.2018.8545605&partnerID=40&md5=ed36575a5559b5e163c7a60a225da421,Conference Paper,Final,,Scopus,2-s2.0-85060128723
"Hayati, F.N., Purhadi, Otok, B.W.",57208224820;54917567400;42262647900;,Parameter Estimation and Statistical Test of Mixed Geographically Weighted Bivariate Weibull Regression (MGWBWR): On the Cases of Infant Mortality and Maternal Mortality Rate in East Java 2016,2019,"Proceeding - 2018 International Symposium on Advanced Intelligent Informatics: Revolutionize Intelligent Informatics Spectrum for Humanity, SAIN 2018",Advanced Intelligent Informatics,,,8673358,78,83,,,10.1109/SAIN.2018.8673358,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85064163177&doi=10.1109%2fSAIN.2018.8673358&partnerID=40&md5=323ed083c87190df97678dccb65c7402,Conference Paper,Final,,Scopus,2-s2.0-85064163177
"Arniva, N.S., Purhadi, Sutikno",57208230345;54917567400;57195569046;,Parameter Estimation and Statistical Test in Mixed Model of Geographically Weighted Bivariate Poisson Inverse Gaussian Regression,2019,"Proceeding - 2018 International Symposium on Advanced Intelligent Informatics: Revolutionize Intelligent Informatics Spectrum for Humanity, SAIN 2018",Advanced Intelligent Informatics,,,8673378,62,65,,,10.1109/SAIN.2018.8673378,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85064158580&doi=10.1109%2fSAIN.2018.8673378&partnerID=40&md5=b7d53b65f436758ad805e879fe693402,Conference Paper,Final,,Scopus,2-s2.0-85064158580
"Wu, R.N., Huang, M.X., Bao, Y.H., Bao, G.",56263195900;57198802815;57214924430;55122079700;,Study on driving factors of carbon emissions in Inner Mongolia of china based on geographically weighted regression model,2014,Advanced Materials Research,Advanced Materials Research,962-965,,,2355,2359,,1,10.4028/www.scientific.net/AMR.962-965.2355,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84904114076&doi=10.4028%2fwww.scientific.net%2fAMR.962-965.2355&partnerID=40&md5=40ddf871c436c96cba5b19629316105a,Conference Paper,Final,,Scopus,2-s2.0-84904114076
"Zhao, N., Zeng, X., Zhou, J.",56432023200;36343158700;7405548815;,Assessment on vegetation dynamics under climate change for energy saving with satellite data and geographically weighted regression,2013,Advanced Materials Research,Advanced Materials Research,648,,,265,269,,,10.4028/www.scientific.net/AMR.648.265,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84873929370&doi=10.4028%2fwww.scientific.net%2fAMR.648.265&partnerID=40&md5=f63ec93c58e0d73591d468d176cc595c,Conference Paper,Final,,Scopus,2-s2.0-84873929370
"Huang, H., Yi, W., Yi, Q., Zhang, G.",55738296000;36929450900;35209170200;56984554800;,Analysis of landslide surface deformation using geographically weighted regression,2012,Advanced Materials Research,Advanced Materials Research,594-597,,,2406,2409,,,10.4028/www.scientific.net/AMR.594-597.2406,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84871071061&doi=10.4028%2fwww.scientific.net%2fAMR.594-597.2406&partnerID=40&md5=f01f86a8a8f38e4c47d10b7b9734eacc,Conference Paper,Final,,Scopus,2-s2.0-84871071061
[No author name available],[No author id available],"10th International Conference on Knowledge, Information and Creativity Support Systems, KICSS 2015",2018,Advances in Intelligent Systems and Computing,Advances in Intelligent Systems and Computing,685,,,,,304,,,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85037840659&partnerID=40&md5=f80cae988e2cbfeb7478d8c9720cfdde,Conference Review,Final,,Scopus,2-s2.0-85037840659
"Songpatanasilp, P., Horanont, T., Yamada, H., Shibasaki, R.",57195229109;36598530800;57217334672;7003648498;,Modeling traffic accidents occurrences based on land use and road factors using geographically weighted regression models,2018,Advances in Intelligent Systems and Computing,Advances in Intelligent Systems and Computing,685,,,220,232,,,10.1007/978-3-319-70019-9_18,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85037835889&doi=10.1007%2f978-3-319-70019-9_18&partnerID=40&md5=203c832cf28fafee921a9eb580fda9e3,Conference Paper,Final,,Scopus,2-s2.0-85037835889
"Chatterjee, S., Ghosh, S., Dawn, S., Hore, S., Dey, N.",57056869700;57139131200;57140477200;55513394000;55356190900;,Forest type classification: A hybrid nn-ga model based approach,2016,Advances in Intelligent Systems and Computing,Advances in Intelligent Systems and Computing,435,,,227,236,,36,10.1007/978-81-322-2757-1_23,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84959080576&doi=10.1007%2f978-81-322-2757-1_23&partnerID=40&md5=0f03731844637977a14006f467a27349,Conference Paper,Final,,Scopus,2-s2.0-84959080576
