Authors,Author(s) ID,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,Cited by,DOI,Link,Document Type,Publication Stage,Open Access,Source,EID
"Yang, Z., Xia, J., Zou, L., Qiao, Y., Xiao, S., Dong, Y., Liu, C.",57258157600;7402327199;56765122600;57194057338;57216783694;57257825400;57218291585;,Efficiency and driving force assessment of an integrated urban water use and wastewater treatment system: Evidence from spatial panel data of the urban agglomeration on the middle reaches of the Yangtze River,2022,Science of the Total Environment,805,,150232,,,,,10.1016/j.scitotenv.2021.150232,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85114861148&doi=10.1016%2fj.scitotenv.2021.150232&partnerID=40&md5=9f55914b4c0a9d5a1d214b70623392b8,Article,Final,,Scopus,2-s2.0-85114861148
"Gardin, L., Chiesi, M., Fibbi, L., Maselli, F.",6506225523;7007044760;12544528100;7005865248;,Mapping soil organic carbon in Tuscany through the statistical combination of ground observations with ancillary and remote sensing data,2021,Geoderma,404,,115386,,,,,10.1016/j.geoderma.2021.115386,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85114125900&doi=10.1016%2fj.geoderma.2021.115386&partnerID=40&md5=b6412cb75cf0d1e4e4c45923a1568077,Article,Final,,Scopus,2-s2.0-85114125900
"Li, H., Zhu, L., Dai, Z., Gong, H., Guo, T., Guo, G., Wang, J., Teatini, P.",57217150463;57202316432;7201387600;35240287700;57223837640;26039111000;57226556208;6603863620;,Spatiotemporal modeling of land subsidence using a geographically weighted deep learning method based on PS-InSAR,2021,Science of the Total Environment,799,,149244,,,,,10.1016/j.scitotenv.2021.149244,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85111930885&doi=10.1016%2fj.scitotenv.2021.149244&partnerID=40&md5=95c0fd2c16c3e8998f65bd4115671863,Article,Final,,Scopus,2-s2.0-85111930885
"Yang, W., Jiang, X.",57001351100;55488460300;,Evaluating the influence of land use and land cover change on fine particulate matter,2021,Scientific Reports,11,1,17612,,,,,10.1038/s41598-021-97088-8,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85114626243&doi=10.1038%2fs41598-021-97088-8&partnerID=40&md5=b7e7e9f70fae8c255145b5f69280ea73,Article,Final,,Scopus,2-s2.0-85114626243
"Li, W., Dong, F., Ji, Z.",57218302357;8283950400;57221919542;,Research on coordination level and influencing factors spatial heterogeneity of China's urban CO2 emissions,2021,Sustainable Cities and Society,75,,103323,,,,,10.1016/j.scs.2021.103323,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85114331448&doi=10.1016%2fj.scs.2021.103323&partnerID=40&md5=2a236382e315409bc01affbf3d43ffe6,Article,Final,,Scopus,2-s2.0-85114331448
"Quiñones, S., Goyal, A., Ahmed, Z.U.",57216615016;57222629188;35591393200;,"Author Correction: Geographically weighted machine learning model for untangling spatial heterogeneity of type 2 diabetes mellitus (T2D) prevalence in the USA (Scientific Reports, (2021), 11, 1, (6955), 10.1038/s41598-021-85381-5)",2021,Scientific Reports,11,1,17645,,,,,10.1038/s41598-021-97279-3,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85114303596&doi=10.1038%2fs41598-021-97279-3&partnerID=40&md5=8b8341cc683cd7600c3362cf5126e0fb,Erratum,Final,"All Open Access, Gold, Green",Scopus,2-s2.0-85114303596
"Song, Y., Shen, Z., Wu, P., Viscarra Rossel, R.A.",57200073199;57221371781;57244596700;55900800400;,Wavelet geographically weighted regression for spectroscopic modelling of soil properties,2021,Scientific Reports,11,1,17503,,,,,10.1038/s41598-021-96772-z,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85114133480&doi=10.1038%2fs41598-021-96772-z&partnerID=40&md5=84883a4d176e10ac6004af8aa426e994,Article,Final,"All Open Access, Gold, Green",Scopus,2-s2.0-85114133480
"Qiao, H.-H., Wang, C.-H., Chen, M.-H., Su, C.-H.J., Tsai, C.-H.K., Liu, J.",57234461400;55498292400;7406348919;57215846006;57233725100;57210136624;,Hedonic price analysis for high-end rural homestay room rates,2021,Journal of Hospitality and Tourism Management,49,,,1,11,,,10.1016/j.jhtm.2021.08.008,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85113587548&doi=10.1016%2fj.jhtm.2021.08.008&partnerID=40&md5=20e04c85e4b9c159bb37c48011b2048d,Article,Final,,Scopus,2-s2.0-85113587548
"Wang, Q., Feng, H., Feng, H., Yu, Y., Li, J., Ning, E.",57221931019;36655555300;57188846405;57221119034;57221945443;57221940074;,The impacts of road traffic on urban air quality in Jinan based GWR and remote sensing,2021,Scientific Reports,11,1,15512,,,,,10.1038/s41598-021-94159-8,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85111637570&doi=10.1038%2fs41598-021-94159-8&partnerID=40&md5=b4690a683d9acebb45333574b039c3dd,Article,Final,"All Open Access, Gold, Green",Scopus,2-s2.0-85111637570
"Wang, J., Teng, D., He, X., Qin, L., Yang, X., Lv, G.",57221359799;57200200494;55902438600;55362093000;57214946421;7003850998;,Spatial non-stationarity effects of driving factors on soil respiration in an arid desert region,2021,Catena,207,,105617,,,,,10.1016/j.catena.2021.105617,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85111320516&doi=10.1016%2fj.catena.2021.105617&partnerID=40&md5=868915b1c0f9e8a7b2f5df6a0013f4c2,Article,Final,,Scopus,2-s2.0-85111320516
